PID,RID,RQ,PassiveVoice,AmbiguousPronoun,period,edu,exp.se.scaled,exp.re.scaled,primary.role,dom.os,dom.db,model.occ,model.train,tool,entities.expected,entities.found,entities.missing,entities.superfluous,associations.expected,associations.found,associations.missing,associations.superfluous,associations.wrong,duration.scaled,rel.duration,rel.entity.miss,rel.entity.super,rel.association.miss,rel.association.wrong
2,1,0,FALSE,FALSE,1,High-School,0.14705882352941177,0,role.Dev,4,3,Rarely,FALSE,None,4,4,0,1,4,4,0,0,0,-0.05454176551187366,-0.5,-0.75,0.5,-1.25,-0.5
2,2,1,TRUE,FALSE,2,High-School,0.14705882352941177,0,role.Dev,4,3,Rarely,FALSE,None,4,3,1,0,3,2,1,1,0,-0.34160368925857654,-1.5,0.25,-0.5,-0.25,-0.5
2,4,3,TRUE,TRUE,3,High-School,0.14705882352941177,0,role.Dev,4,3,Rarely,FALSE,None,5,4,1,1,4,1,3,0,1,1.0937059294749378,3.5,0.25,0.5,1.75,0.5
2,3,2,FALSE,TRUE,4,High-School,0.14705882352941177,0,role.Dev,4,3,Rarely,FALSE,None,4,3,1,0,3,2,1,0,1,-0.34160368925857654,-1.5,0.25,-0.5,-0.25,0.5
3,1,0,FALSE,FALSE,1,High-School,0.058823529411764705,0,role.none,1,2,Rarely,TRUE,From time to time,4,4,0,1,4,4,0,1,0,-0.6286656130052795,-2.75,-0.75,0.5,-0.25,-0.5
3,3,2,FALSE,TRUE,2,High-School,0.058823529411764705,0,role.none,1,2,Rarely,TRUE,From time to time,4,3,1,0,3,3,0,0,2,-0.6286656130052795,-2.75,0.25,-0.5,-0.25,1.5
3,2,1,TRUE,FALSE,3,High-School,0.058823529411764705,0,role.none,1,2,Rarely,TRUE,From time to time,4,3,1,1,3,3,0,1,0,1.6678297769683437,5.25,0.25,0.5,-0.25,-0.5
3,4,3,TRUE,TRUE,4,High-School,0.058823529411764705,0,role.none,1,2,Rarely,TRUE,From time to time,5,4,1,0,4,3,1,0,0,0.23252015823482924,0.25,0.25,-0.5,0.75,-0.5
4,1,0,FALSE,FALSE,1,Master's degree,0.47058823529411764,0.04,role.Arch,2,3,From time to time,FALSE,None,4,2,2,1,4,0,4,1,0,0.806644005728235,-1.5,0.75,0.25,2.25,-0.75
4,3,2,FALSE,TRUE,2,Master's degree,0.47058823529411764,0.04,role.Arch,2,3,From time to time,FALSE,None,4,3,1,2,3,2,1,1,1,4.538449014435373,11.5,-0.25,1.25,-0.75,0.25
4,4,3,TRUE,TRUE,3,Master's degree,0.47058823529411764,0.04,role.Arch,2,3,From time to time,FALSE,None,5,4,1,0,4,3,1,0,2,0.5195820819815321,-2.5,-0.25,-0.75,-0.75,1.25
4,2,1,TRUE,FALSE,4,Master's degree,0.47058823529411764,0.04,role.Arch,2,3,From time to time,FALSE,None,4,3,1,0,3,2,1,1,0,-0.9157275367519824,-7.5,-0.25,-0.75,-0.75,-0.75
5,2,1,TRUE,FALSE,1,Master's degree,0.7352941176470589,0.8,role.Arch,4,4,From time to time,TRUE,None,4,3,1,0,3,2,1,0,0,0.23252015823482924,-1,0.5,-0.25,0.5,-0.5
5,4,3,TRUE,TRUE,2,Master's degree,0.7352941176470589,0.8,role.Arch,4,4,From time to time,TRUE,None,5,4,1,0,4,3,1,0,0,1.0937059294749378,2,0.5,-0.25,0.5,-0.5
5,1,0,FALSE,FALSE,3,Master's degree,0.7352941176470589,0.8,role.Arch,4,4,From time to time,TRUE,None,4,4,0,1,4,4,0,0,1,0.806644005728235,1,-0.5,0.75,-0.5,0.5
5,3,2,FALSE,TRUE,4,Master's degree,0.7352941176470589,0.8,role.Arch,4,4,From time to time,TRUE,None,4,4,0,0,3,3,0,0,1,-0.05454176551187366,-2,-0.5,-0.25,-0.5,0.5
18,2,1,TRUE,FALSE,1,Bachelor's degree,0.6764705882352942,0.12,role.Arch,3,3,None,FALSE,None,4,3,1,1,3,2,1,1,1,0.5195820819815321,3.75,0,0.75,0,0
18,4,3,TRUE,TRUE,2,Bachelor's degree,0.6764705882352942,0.12,role.Arch,3,3,None,FALSE,None,5,4,1,0,4,3,1,0,2,-0.34160368925857654,0.75,0,-0.25,0,1
18,3,2,FALSE,TRUE,3,Bachelor's degree,0.6764705882352942,0.12,role.Arch,3,3,None,FALSE,None,4,3,1,0,3,2,1,0,1,-1.2027894604986853,-2.25,0,-0.25,0,0
18,1,0,FALSE,FALSE,4,Bachelor's degree,0.6764705882352942,0.12,role.Arch,3,3,None,FALSE,None,4,3,1,0,4,3,1,0,0,-1.2027894604986853,-2.25,0,-0.25,0,-1
20,4,3,TRUE,TRUE,1,Master's degree,0.4411764705882353,0.6,role.RE,2,4,From time to time,TRUE,None,5,3,2,1,4,2,2,1,0,-0.6286656130052795,-1,0.5,-0.75,0.75,0
20,2,1,TRUE,FALSE,2,Master's degree,0.4411764705882353,0.6,role.RE,2,4,From time to time,TRUE,None,4,3,1,2,3,2,1,2,0,-0.05454176551187366,1,-0.5,0.25,-0.25,0
20,3,2,FALSE,TRUE,3,Master's degree,0.4411764705882353,0.6,role.RE,2,4,From time to time,TRUE,None,4,1,3,4,3,1,2,3,0,0.5195820819815321,3,1.5,2.25,0.75,0
20,1,0,FALSE,FALSE,4,Master's degree,0.4411764705882353,0.6,role.RE,2,4,From time to time,TRUE,None,4,4,0,0,4,4,0,0,0,-1.2027894604986853,-3,-1.5,-1.75,-1.25,0
15,3,2,FALSE,TRUE,1,High-School,0.14705882352941177,0.04,role.Dev,4,4,Rarely,TRUE,None,4,3,1,1,3,2,1,1,1,-0.34160368925857654,0.5,0.75,0.5,0.75,0.5
15,2,1,TRUE,FALSE,2,High-School,0.14705882352941177,0.04,role.Dev,4,4,Rarely,TRUE,None,4,4,0,0,3,3,0,0,0,-0.34160368925857654,0.5,-0.25,-0.5,-0.25,-0.5
15,1,0,FALSE,FALSE,3,High-School,0.14705882352941177,0.04,role.Dev,4,4,Rarely,TRUE,None,4,4,0,1,4,4,0,1,0,-0.6286656130052795,-0.5,-0.25,0.5,-0.25,-0.5
15,4,3,TRUE,TRUE,4,High-School,0.14705882352941177,0.04,role.Dev,4,4,Rarely,TRUE,None,5,5,0,0,4,4,0,0,1,-0.6286656130052795,-0.5,-0.25,-0.5,-0.25,0.5
16,4,3,TRUE,TRUE,1,High-School,0.029411764705882353,0.04,role.none,3,2,Rarely,TRUE,None,5,3,2,0,4,2,2,0,0,1.9548917007150466,4,1.25,-0.75,1,-0.25
16,2,1,TRUE,FALSE,2,High-School,0.029411764705882353,0.04,role.none,3,2,Rarely,TRUE,None,4,4,0,1,3,3,0,1,0,0.806644005728235,0,-0.75,0.25,-1,-0.25
16,1,0,FALSE,FALSE,3,High-School,0.029411764705882353,0.04,role.none,3,2,Rarely,TRUE,None,4,4,0,1,4,3,1,3,0,1.0937059294749378,1,-0.75,0.25,0,-0.25
16,3,2,FALSE,TRUE,4,High-School,0.029411764705882353,0.04,role.none,3,2,Rarely,TRUE,None,4,3,1,1,3,2,1,1,1,-0.6286656130052795,-5,0.25,0.25,0,0.75
22,2,1,TRUE,FALSE,1,High-School,0.17647058823529413,0.08,role.RE,4,3,From time to time,TRUE,Rarely,4,2,2,1,3,1,2,1,0,-0.9157275367519824,1.25,0.25,0.75,0.25,0
22,3,2,FALSE,TRUE,2,High-School,0.17647058823529413,0.08,role.RE,4,3,From time to time,TRUE,Rarely,4,2,2,0,3,1,2,0,0,-1.2027894604986853,0.25,0.25,-0.25,0.25,0
22,4,3,TRUE,TRUE,3,High-School,0.17647058823529413,0.08,role.RE,4,3,From time to time,TRUE,Rarely,5,2,3,0,4,1,3,0,0,-1.4898513842453882,-0.75,1.25,-0.25,1.25,0
22,1,0,FALSE,FALSE,4,High-School,0.17647058823529413,0.08,role.RE,4,3,From time to time,TRUE,Rarely,4,4,0,0,4,4,0,0,0,-1.4898513842453882,-0.75,-1.75,-0.25,-1.75,0
6,3,2,FALSE,TRUE,1,Bachelor's degree,0.29411764705882354,1,role.RE,2,3,From time to time,FALSE,None,4,3,1,1,3,2,1,1,1,-0.6286656130052795,-3,0.5,0.75,0.5,0.5
6,1,0,FALSE,FALSE,2,Bachelor's degree,0.29411764705882354,1,role.RE,2,3,From time to time,FALSE,None,4,4,0,0,4,4,0,0,0,1.9548917007150466,6,-0.5,-0.25,-0.5,-0.5
6,2,1,TRUE,FALSE,3,Bachelor's degree,0.29411764705882354,1,role.RE,2,3,From time to time,FALSE,None,4,4,0,0,3,3,0,0,0,-0.34160368925857654,-2,-0.5,-0.25,-0.5,-0.5
6,4,3,TRUE,TRUE,4,Bachelor's degree,0.29411764705882354,1,role.RE,2,3,From time to time,FALSE,None,5,4,1,0,4,3,1,0,1,-0.05454176551187366,-1,0.5,-0.25,0.5,0.5
9,2,1,TRUE,FALSE,1,Bachelor's degree,0.4411764705882353,0.08,role.Arch,4,4,From time to time,FALSE,Rarely,4,3,1,0,3,2,1,0,0,0.5195820819815321,-0.75,0,-0.25,0,-0.25
9,1,0,FALSE,FALSE,2,Bachelor's degree,0.4411764705882353,0.08,role.Arch,4,4,From time to time,FALSE,Rarely,4,4,0,0,4,4,0,0,0,0.806644005728235,0.25,-1,-0.25,-1,-0.25
9,3,2,FALSE,TRUE,3,Bachelor's degree,0.4411764705882353,0.08,role.Arch,4,4,From time to time,FALSE,Rarely,4,3,1,0,3,2,1,0,1,0.806644005728235,0.25,0,-0.25,0,0.75
9,4,3,TRUE,TRUE,4,Bachelor's degree,0.4411764705882353,0.08,role.Arch,4,4,From time to time,FALSE,Rarely,5,3,2,1,4,2,2,1,0,0.806644005728235,0.25,1,0.75,1,-0.25
12,4,3,TRUE,TRUE,1,Bachelor's degree,1,0.8,role.Arch,2,3,From time to time,TRUE,None,5,3,2,0,4,2,2,0,0,-0.05454176551187366,-0.5,0.75,0,0.75,0
12,1,0,FALSE,FALSE,2,Bachelor's degree,1,0.8,role.Arch,2,3,From time to time,TRUE,None,4,4,0,0,4,4,0,0,0,-0.34160368925857654,-1.5,-1.25,0,-1.25,0
12,3,2,FALSE,TRUE,3,Bachelor's degree,1,0.8,role.Arch,2,3,From time to time,TRUE,None,4,2,2,0,3,1,2,0,0,0.806644005728235,2.5,0.75,0,0.75,0
12,2,1,TRUE,FALSE,4,Bachelor's degree,1,0.8,role.Arch,2,3,From time to time,TRUE,None,4,3,1,0,3,2,1,0,0,-0.05454176551187366,-0.5,-0.25,0,-0.25,0
13,1,0,FALSE,FALSE,1,Master's degree,0.4411764705882353,0.28,role.Dev,5,5,Often,FALSE,None,4,4,0,0,4,4,0,0,0,0.23252015823482924,0.75,-1,-1,-1.25,0
13,4,3,TRUE,TRUE,2,Master's degree,0.4411764705882353,0.28,role.Dev,5,5,Often,FALSE,None,5,3,2,2,4,1,3,1,0,-0.6286656130052795,-2.25,1,1,1.75,0
13,3,2,FALSE,TRUE,3,Master's degree,0.4411764705882353,0.28,role.Dev,5,5,Often,FALSE,None,4,2,2,2,3,1,2,2,0,1.3807678532216408,4.75,1,1,0.75,0
13,2,1,TRUE,FALSE,4,Master's degree,0.4411764705882353,0.28,role.Dev,5,5,Often,FALSE,None,4,4,0,0,3,3,0,0,0,-0.9157275367519824,-3.25,-1,-1,-1.25,0
14,2,1,TRUE,FALSE,1,Master's degree,0.6764705882352942,0.68,role.RE,3,3,From time to time,TRUE,None,4,3,1,1,3,2,1,3,0,2.2419536244617495,6.5,-0.75,-0.75,-0.5,-0.25
14,3,2,FALSE,TRUE,2,Master's degree,0.6764705882352942,0.68,role.RE,3,3,From time to time,TRUE,None,4,1,3,2,3,1,2,3,0,0.23252015823482924,-0.5,1.25,0.25,0.5,-0.25
14,1,0,FALSE,FALSE,3,Master's degree,0.6764705882352942,0.68,role.RE,3,3,From time to time,TRUE,None,4,4,0,0,4,4,0,0,0,-0.9157275367519824,-4.5,-1.75,-1.75,-1.5,-0.25
14,4,3,TRUE,TRUE,4,Master's degree,0.6764705882352942,0.68,role.RE,3,3,From time to time,TRUE,None,5,2,3,4,4,1,3,4,1,-0.05454176551187366,-1.5,1.25,2.25,1.5,0.75
11,3,2,FALSE,TRUE,1,Master's degree,0.7352941176470589,0.8,role.Dev,3,3,Often,TRUE,Rarely,4,3,1,0,3,2,1,0,0,-0.6286656130052795,-1.75,0.25,0,0.25,-0.25
11,1,0,FALSE,FALSE,2,Master's degree,0.7352941176470589,0.8,role.Dev,3,3,Often,TRUE,Rarely,4,4,0,0,4,4,0,0,0,-0.34160368925857654,-0.75,-0.75,0,-0.75,-0.25
11,4,3,TRUE,TRUE,3,Master's degree,0.7352941176470589,0.8,role.Dev,3,3,Often,TRUE,Rarely,5,4,1,0,4,3,1,0,1,-0.05454176551187366,0.25,0.25,0,0.25,0.75
11,2,1,TRUE,FALSE,4,Master's degree,0.7352941176470589,0.8,role.Dev,3,3,Often,TRUE,Rarely,4,3,1,0,3,2,1,0,0,0.5195820819815321,2.25,0.25,0,0.25,-0.25
23,4,3,TRUE,TRUE,1,Bachelor's degree,0.20588235294117646,0.08,role.Arch,5,2,Rarely,FALSE,None,5,5,0,0,4,4,0,0,0,1.3807678532216408,2.5,-0.25,-0.5,-0.25,0
23,3,2,FALSE,TRUE,2,Bachelor's degree,0.20588235294117646,0.08,role.Arch,5,2,Rarely,FALSE,None,4,4,0,1,3,3,0,1,0,0.23252015823482924,-1.5,-0.25,0.5,-0.25,0
23,1,0,FALSE,FALSE,3,Bachelor's degree,0.20588235294117646,0.08,role.Arch,5,2,Rarely,FALSE,None,4,4,0,1,4,4,0,1,0,1.0937059294749378,1.5,-0.25,0.5,-0.25,0
23,2,1,TRUE,FALSE,4,Bachelor's degree,0.20588235294117646,0.08,role.Arch,5,2,Rarely,FALSE,None,4,3,1,0,3,2,1,0,0,-0.05454176551187366,-2.5,0.75,-0.5,0.75,0
24,4,3,TRUE,TRUE,1,Master's degree,0.2647058823529412,0.16,role.Dev,4,4,Rarely,TRUE,None,5,4,1,1,4,3,1,1,0,-0.34160368925857654,-0.75,0.75,0.25,0.75,-0.25
24,3,2,FALSE,TRUE,2,Master's degree,0.2647058823529412,0.16,role.Dev,4,4,Rarely,TRUE,None,4,4,0,1,3,3,0,1,1,-0.6286656130052795,-1.75,-0.25,0.25,-0.25,0.75
24,2,1,TRUE,FALSE,3,Master's degree,0.2647058823529412,0.16,role.Dev,4,4,Rarely,TRUE,None,4,4,0,0,3,3,0,0,0,-0.9157275367519824,-2.75,-0.25,-0.75,-0.25,-0.25
24,1,0,FALSE,FALSE,4,Master's degree,0.2647058823529412,0.16,role.Dev,4,4,Rarely,TRUE,None,4,4,0,1,4,4,0,1,0,1.3807678532216408,5.25,-0.25,0.25,-0.25,-0.25
17,3,2,FALSE,TRUE,1,Bachelor's degree,0.058823529411764705,0.04,role.none,3,3,Rarely,TRUE,None,4,3,1,1,3,2,1,1,1,-0.05454176551187366,-1,0.5,0,0.5,0.75
17,2,1,TRUE,FALSE,2,Bachelor's degree,0.058823529411764705,0.04,role.none,3,3,Rarely,TRUE,None,4,3,1,1,3,2,1,2,0,-0.05454176551187366,-1,0.5,0,0.5,-0.25
17,4,3,TRUE,TRUE,3,Bachelor's degree,0.058823529411764705,0.04,role.none,3,3,Rarely,TRUE,None,5,5,0,1,4,4,0,1,0,0.5195820819815321,1,-0.5,0,-0.5,-0.25
17,1,0,FALSE,FALSE,4,Bachelor's degree,0.058823529411764705,0.04,role.none,3,3,Rarely,TRUE,None,4,4,0,1,4,4,0,1,0,0.5195820819815321,1,-0.5,0,-0.5,-0.25
10,2,1,TRUE,FALSE,1,Bachelor's degree,0.5882352941176471,0.16,role.Dev,4,5,Rarely,TRUE,None,4,3,1,0,3,2,1,0,0,-0.05454176551187366,-1.5,0,-1.75,0,0
10,1,0,FALSE,FALSE,2,Bachelor's degree,0.5882352941176471,0.16,role.Dev,4,5,Rarely,TRUE,None,4,4,0,0,4,4,0,0,0,-0.34160368925857654,-2.5,-1,-1.75,-1,0
10,4,3,TRUE,TRUE,3,Bachelor's degree,0.5882352941176471,0.16,role.Dev,4,5,Rarely,TRUE,None,5,4,1,1,4,3,1,1,0,-0.05454176551187366,-1.5,0,-0.75,0,0
10,3,2,FALSE,TRUE,4,Bachelor's degree,0.5882352941176471,0.16,role.Dev,4,5,Rarely,TRUE,None,4,2,2,6,3,1,2,2,0,1.9548917007150466,5.5,1,4.25,1,0
19,3,2,FALSE,TRUE,1,Master's degree,0.6176470588235294,0.72,role.Dev,3,2,Rarely,FALSE,None,4,3,1,0,3,2,1,0,0,0.806644005728235,0.5,-0.25,-0.5,-0.25,-0.5
19,4,3,TRUE,TRUE,2,Master's degree,0.6176470588235294,0.72,role.Dev,3,2,Rarely,FALSE,None,5,3,2,0,4,2,2,0,0,1.9548917007150466,4.5,0.75,-0.5,0.75,-0.5
19,1,0,FALSE,FALSE,3,Master's degree,0.6176470588235294,0.72,role.Dev,3,2,Rarely,FALSE,None,4,4,0,1,4,4,0,0,1,0.806644005728235,0.5,-1.25,0.5,-1.25,0.5
19,2,1,TRUE,FALSE,4,Master's degree,0.6176470588235294,0.72,role.Dev,3,2,Rarely,FALSE,None,4,2,2,1,3,1,2,1,1,-0.9157275367519824,-5.5,0.75,0.5,0.75,0.5
21,3,2,FALSE,TRUE,1,Master's degree,0.29411764705882354,0.32,role.Dev,3,2,Often,TRUE,None,4,3,1,0,3,2,1,0,0,-1.4898513842453882,-1.5,0.25,0,0.25,0
21,4,3,TRUE,TRUE,2,Master's degree,0.29411764705882354,0.32,role.Dev,3,2,Often,TRUE,None,5,4,1,0,4,3,1,0,0,-0.6286656130052795,1.5,0.25,0,0.25,0
21,2,1,TRUE,FALSE,3,Master's degree,0.29411764705882354,0.32,role.Dev,3,2,Often,TRUE,None,4,3,1,0,3,2,1,0,0,-1.4898513842453882,-1.5,0.25,0,0.25,0
21,1,0,FALSE,FALSE,4,Master's degree,0.29411764705882354,0.32,role.Dev,3,2,Often,TRUE,None,4,4,0,0,4,4,0,0,0,-0.6286656130052795,1.5,-0.75,0,-0.75,0
26,4,3,TRUE,TRUE,1,Master's degree,0.058823529411764705,0.16,role.RE,4,3,From time to time,TRUE,Rarely,5,5,0,0,4,4,0,0,1,-0.34160368925857654,0.5,-0.25,-0.75,-0.25,0.75
26,1,0,FALSE,FALSE,2,Master's degree,0.058823529411764705,0.16,role.RE,4,3,From time to time,TRUE,Rarely,4,4,0,0,4,4,0,0,0,-0.6286656130052795,-0.5,-0.25,-0.75,-0.25,-0.25
26,2,1,TRUE,FALSE,3,Master's degree,0.058823529411764705,0.16,role.RE,4,3,From time to time,TRUE,Rarely,4,4,0,1,3,3,0,1,0,-0.34160368925857654,0.5,-0.25,0.25,-0.25,-0.25
26,3,2,FALSE,TRUE,4,Master's degree,0.058823529411764705,0.16,role.RE,4,3,From time to time,TRUE,Rarely,4,3,1,2,3,2,1,2,0,-0.6286656130052795,-0.5,0.75,1.25,0.75,-0.25
8,1,0,FALSE,FALSE,1,Bachelor's degree,0.7352941176470589,0.6,role.Dev,3,3,From time to time,TRUE,None,4,4,0,0,4,3,1,0,0,-0.34160368925857654,1.5,-1.25,0,-0.5,-0.25
8,4,3,TRUE,TRUE,2,Bachelor's degree,0.7352941176470589,0.6,role.Dev,3,3,From time to time,TRUE,None,5,2,3,0,4,1,3,0,0,-1.2027894604986853,-1.5,1.75,0,1.5,-0.25
8,2,1,TRUE,FALSE,3,Bachelor's degree,0.7352941176470589,0.6,role.Dev,3,3,From time to time,TRUE,None,4,3,1,0,3,2,1,0,0,-0.34160368925857654,1.5,-0.25,0,-0.5,-0.25
8,3,2,FALSE,TRUE,4,Bachelor's degree,0.7352941176470589,0.6,role.Dev,3,3,From time to time,TRUE,None,4,3,1,0,3,2,1,0,1,-1.2027894604986853,-1.5,-0.25,0,-0.5,0.75
7,1,0,FALSE,FALSE,1,Master's degree,0.11764705882352941,0.16,role.Dev,3,5,Rarely,FALSE,Rarely,4,1,3,2,4,1,3,2,0,-0.9157275367519824,-1.75,0.75,1,0.75,0
7,2,1,TRUE,FALSE,2,Master's degree,0.11764705882352941,0.16,role.Dev,3,5,Rarely,FALSE,Rarely,4,2,2,1,3,1,2,1,0,-1.2027894604986853,-2.75,-0.25,0,-0.25,0
7,3,2,FALSE,TRUE,3,Master's degree,0.11764705882352941,0.16,role.Dev,3,5,Rarely,FALSE,Rarely,4,1,3,1,3,0,3,1,0,-0.6286656130052795,-0.75,0.75,0,0.75,0
7,4,3,TRUE,TRUE,4,Master's degree,0.11764705882352941,0.16,role.Dev,3,5,Rarely,FALSE,Rarely,5,4,1,0,4,3,1,0,0,1.0937059294749378,5.25,-1.25,-1,-1.25,0
25,1,0,FALSE,FALSE,1,Master's degree,0,0.28,role.MGT,2,2,Rarely,TRUE,Rarely,4,4,0,1,4,4,0,2,0,0.23252015823482924,2.75,-0.5,0.75,-0.75,-0.25
25,2,1,TRUE,FALSE,2,Master's degree,0,0.28,role.MGT,2,2,Rarely,TRUE,Rarely,4,4,0,0,3,2,1,0,0,-0.05454176551187366,1.75,-0.5,-0.25,0.25,-0.25
25,3,2,FALSE,TRUE,3,Master's degree,0,0.28,role.MGT,2,2,Rarely,TRUE,Rarely,4,3,1,0,3,2,1,0,1,-1.4898513842453882,-3.25,0.5,-0.25,0.25,0.75
25,4,3,TRUE,TRUE,4,Master's degree,0,0.28,role.MGT,2,2,Rarely,TRUE,Rarely,5,4,1,0,4,3,1,0,0,-0.9157275367519824,-1.25,0.5,-0.25,0.25,-0.25
